onset	duration	trial_type	load_type	processing_stage
1.115	3.202	Frac	Low	Cue
4.317	10.058	Frac	Low	Encode
14.375	10.031	Frac	Low	Maintain
24.406	3.111	Frac	Low	Probe
27.517	10.847	Frac	Low	Rest
38.364	3.092	Frac	Med	Cue
41.456	10.024	Frac	Med	Encode
51.48	10.001	Frac	Med	Maintain
61.481	3.158	Frac	Med	Probe
64.639	10.904	Frac	Med	Rest
75.543	3.157	Pos	Med	Cue
78.7	10.01	Pos	Med	Encode
88.71	10	Pos	Med	Maintain
98.71	3.155	Pos	Med	Probe
101.865	10.798	Pos	Med	Rest
112.663	3.577	Num	High	Cue
116.24	10.046	Num	High	Encode
126.286	10.031	Num	High	Maintain
136.317	5.775	Num	High	Probe
142.092	10.814	Num	High	Rest
152.906	3.21	Num	Med	Cue
156.116	10.034	Num	Med	Encode
166.15	10.002	Num	Med	Maintain
176.152	2.601	Num	Med	Probe
178.753	10.904	Num	Med	Rest
189.657	3.473	Pos	High	Cue
193.13	10.02	Pos	High	Encode
203.15	10.002	Pos	High	Maintain
213.152	3.552	Pos	High	Probe
216.704	10.839	Pos	High	Rest
227.543	4.171	Frac	High	Cue
231.714	10.02	Frac	High	Encode
241.734	10.001	Frac	High	Maintain
251.735	5.063	Frac	High	Probe
256.798	10.857	Frac	High	Rest
267.655	3.332	Num	Low	Cue
270.987	10.045	Num	Low	Encode
281.032	10.001	Num	Low	Maintain
291.033	1.831	Num	Low	Probe
292.864	10.822	Num	Low	Rest
303.686	3.14	Pos	Low	Cue
306.826	10.041	Pos	Low	Encode
316.867	10.048	Pos	Low	Maintain
326.915	1.198	Pos	Low	Probe
328.113	9.624	Pos	Low	Rest
337.737	3.171	Pos	High	Cue
340.908	10.041	Pos	High	Encode
350.949	10.001	Pos	High	Maintain
360.95	2.286	Pos	High	Probe
363.236	10.877	Pos	High	Rest
374.113	3.157	Frac	Low	Cue
377.27	10.007	Frac	Low	Encode
387.277	10	Frac	Low	Maintain
397.277	2.244	Frac	Low	Probe
399.521	10.757	Frac	Low	Rest
410.278	3.08	Pos	Med	Cue
413.358	10.06	Pos	Med	Encode
423.418	10	Pos	Med	Maintain
433.418	1.447	Pos	Med	Probe
434.865	10.748	Pos	Med	Rest
445.613	4.156	Frac	High	Cue
449.769	10.051	Frac	High	Encode
459.82	10.032	Frac	High	Maintain
469.852	6.688	Frac	High	Probe
476.54	10.807	Frac	High	Rest
487.347	3.197	Frac	Med	Cue
490.544	10.056	Frac	Med	Encode
500.6	10.026	Frac	Med	Maintain
510.626	5.894	Frac	Med	Probe
516.52	10.829	Frac	Med	Rest
527.349	3.847	Num	High	Cue
531.196	10.041	Num	High	Encode
541.237	10.048	Num	High	Maintain
551.285	4.128	Num	High	Probe
555.413	10.866	Num	High	Rest
566.279	3.077	Num	Low	Cue
569.356	10.034	Num	Low	Encode
579.39	10.002	Num	Low	Maintain
589.392	2.446	Num	Low	Probe
591.838	10.803	Num	Low	Rest
602.641	3.09	Num	Med	Cue
605.731	10.044	Num	Med	Encode
615.775	10	Num	Med	Maintain
625.775	4.43	Num	Med	Probe
630.205	10.829	Num	Med	Rest
641.034	3.297	Pos	Low	Cue
644.331	10.056	Pos	Low	Encode
654.387	10.001	Pos	Low	Maintain
664.388	2.389	Pos	Low	Probe
666.777	10	Pos	Low	Rest
