onset	duration	trial_type	load_type	processing_stage
1.131	3.157	Pos	Low	Cue
4.288	10.034	Pos	Low	Encode
14.322	10.002	Pos	Low	Maintain
24.324	2.368	Pos	Low	Probe
26.692	10.85	Pos	Low	Rest
37.542	3.03	Frac	Med	Cue
40.572	10.008	Frac	Med	Encode
50.58	10.046	Frac	Med	Maintain
60.626	3.29	Frac	Med	Probe
63.916	10.826	Frac	Med	Rest
74.742	3.13	Frac	Low	Cue
77.872	10.004	Frac	Low	Encode
87.876	9.999	Frac	Low	Maintain
97.875	2.991	Frac	Low	Probe
100.866	10.8	Frac	Low	Rest
111.666	3.16	Num	Med	Cue
114.826	10.01	Num	Med	Encode
124.836	10	Num	Med	Maintain
134.836	4.77	Num	Med	Probe
139.606	10.857	Num	Med	Rest
150.463	4.341	Pos	High	Cue
154.804	10.024	Pos	High	Encode
164.828	10	Pos	High	Maintain
174.828	5.15	Pos	High	Probe
179.978	10.821	Pos	High	Rest
190.799	3.674	Frac	High	Cue
194.473	10.019	Frac	High	Encode
204.492	10.001	Frac	High	Maintain
214.493	4.615	Frac	High	Probe
219.108	10.856	Frac	High	Rest
229.964	3.081	Num	Low	Cue
233.045	10.01	Num	Low	Encode
243.055	10	Num	Low	Maintain
253.055	3.326	Num	Low	Probe
256.381	10.867	Num	Low	Rest
267.248	3.211	Num	High	Cue
270.459	10.034	Num	High	Encode
280.493	10.002	Num	High	Maintain
290.495	7.61	Num	High	Probe
298.105	10.773	Num	High	Rest
308.878	3.09	Pos	Med	Cue
311.968	10.04	Pos	Med	Encode
322.008	10.049	Pos	Med	Maintain
332.057	3.607	Pos	Med	Probe
335.664	9.637	Pos	Med	Rest
345.301	3.68	Num	High	Cue
348.981	10.01	Num	High	Encode
358.991	10	Num	High	Maintain
368.991	4.356	Num	High	Probe
373.347	10.885	Num	High	Rest
384.232	3.12	Num	Low	Cue
387.352	10.057	Num	Low	Encode
397.409	10	Num	Low	Maintain
407.409	2.794	Num	Low	Probe
410.203	10.81	Num	Low	Rest
421.013	3.09	Frac	Low	Cue
424.103	10.057	Frac	Low	Encode
434.16	10	Frac	Low	Maintain
444.16	3.324	Frac	Low	Probe
447.484	10.868	Frac	Low	Rest
458.352	3.454	Frac	High	Cue
461.806	10.03	Frac	High	Encode
471.836	10.046	Frac	High	Maintain
481.882	7.661	Frac	High	Probe
489.543	10.788	Frac	High	Rest
500.331	3.09	Frac	Med	Cue
503.421	10.044	Frac	Med	Encode
513.465	10	Frac	Med	Maintain
523.465	6.04	Frac	Med	Probe
529.505	10.882	Frac	Med	Rest
540.387	3.081	Pos	Med	Cue
543.468	10.01	Pos	Med	Encode
553.478	10	Pos	Med	Maintain
563.478	3.909	Pos	Med	Probe
567.387	10.862	Pos	Med	Rest
578.249	3.09	Num	Med	Cue
581.339	10.056	Num	Med	Encode
591.395	10.001	Num	Med	Maintain
601.396	6.087	Num	Med	Probe
607.483	10.857	Num	Med	Rest
618.34	4.49	Pos	High	Cue
622.83	10.031	Pos	High	Encode
632.861	10.002	Pos	High	Maintain
642.863	7.917	Pos	High	Probe
650.78	10.821	Pos	High	Rest
661.601	3.255	Pos	Low	Cue
664.856	10.058	Pos	Low	Encode
674.914	10	Pos	Low	Maintain
684.914	3.497	Pos	Low	Probe
688.411	10	Pos	Low	Rest
