onset	duration	trial_type	load_type	processing_stage
1.102	3.373	Num	Low	Cue
4.475	10.053	Num	Low	Encode
14.528	10.046	Num	Low	Maintain
24.574	2.576	Num	Low	Probe
27.15	10.832	Num	Low	Rest
37.982	3.13	Frac	Med	Cue
41.112	10.01	Frac	Med	Encode
51.122	10.001	Frac	Med	Maintain
61.123	4.761	Frac	Med	Probe
65.884	10.823	Frac	Med	Rest
76.707	3.922	Num	High	Cue
80.629	10.035	Num	High	Encode
90.664	10.062	Num	High	Maintain
100.726	4.337	Num	High	Probe
105.063	10.767	Num	High	Rest
115.83	3.17	Pos	Low	Cue
119	10.057	Pos	Low	Encode
129.057	10	Pos	Low	Maintain
139.057	2.144	Pos	Low	Probe
141.201	10.801	Pos	Low	Rest
152.002	3.65	Pos	High	Cue
155.652	10.04	Pos	High	Encode
165.692	10.048	Pos	High	Maintain
175.74	3.053	Pos	High	Probe
178.793	10.813	Pos	High	Rest
189.606	3.126	Frac	Low	Cue
192.732	10.01	Frac	Low	Encode
202.742	10	Frac	Low	Maintain
212.742	1.842	Frac	Low	Probe
214.584	10.827	Frac	Low	Rest
225.411	4.485	Frac	High	Cue
229.896	10.037	Frac	High	Encode
239.933	9.999	Frac	High	Maintain
249.932	5.377	Frac	High	Probe
255.309	10.844	Frac	High	Rest
266.153	3.117	Num	Med	Cue
269.27	10.044	Num	Med	Encode
279.314	10	Num	Med	Maintain
289.314	3.919	Num	Med	Probe
293.233	10.836	Num	Med	Rest
304.069	3.167	Pos	Med	Cue
307.236	10.041	Pos	Med	Encode
317.277	10.002	Pos	Med	Maintain
327.279	2.909	Pos	Med	Probe
330.188	9.631	Pos	Med	Rest
339.819	3.3	Pos	Low	Cue
343.119	10.009	Pos	Low	Encode
353.128	10.001	Pos	Low	Maintain
363.129	2.481	Pos	Low	Probe
365.61	10.841	Pos	Low	Rest
376.451	4	Frac	High	Cue
380.451	10.011	Frac	High	Encode
390.462	10	Frac	High	Maintain
400.462	5.31	Frac	High	Probe
405.772	10.807	Frac	High	Rest
416.579	3.242	Pos	High	Cue
419.821	10.059	Pos	High	Encode
429.88	10.032	Pos	High	Maintain
439.912	2.166	Pos	High	Probe
442.078	10.827	Pos	High	Rest
452.905	3.13	Frac	Low	Cue
456.035	10.032	Frac	Low	Encode
466.067	10.001	Frac	Low	Maintain
476.068	3.399	Frac	Low	Probe
479.467	10.817	Frac	Low	Rest
490.284	3.09	Frac	Med	Cue
493.374	10.04	Frac	Med	Encode
503.414	10.048	Frac	Med	Maintain
513.462	6.696	Frac	Med	Probe
520.158	10.794	Frac	Med	Rest
530.952	3.121	Num	Low	Cue
534.073	10.056	Num	Low	Encode
544.129	10.001	Num	Low	Maintain
554.13	2.864	Num	Low	Probe
556.994	10.749	Num	Low	Rest
567.743	3.16	Pos	Med	Cue
570.903	10.01	Pos	Med	Encode
580.913	10.002	Pos	Med	Maintain
590.915	3.627	Pos	Med	Probe
594.542	10.866	Pos	Med	Rest
605.408	3.08	Num	Med	Cue
608.488	10.01	Num	Med	Encode
618.498	10.048	Num	Med	Maintain
628.546	3.83	Num	Med	Probe
632.376	10.839	Num	Med	Rest
643.215	3.241	Num	High	Cue
646.456	10.034	Num	High	Encode
656.49	9.999	Num	High	Maintain
666.489	4.582	Num	High	Probe
671.071	10	Num	High	Rest
