onset	duration	trial_type	load_type	processing_stage
1.114	5.345	Num	High	Cue
6.459	10.023	Num	High	Encode
16.482	10.062	Num	High	Maintain
26.544	3.47	Num	High	Probe
30.014	10.806	Num	High	Rest
40.82	3.21	Num	Low	Cue
44.03	10.034	Num	Low	Encode
54.064	10.001	Num	Low	Maintain
64.065	2.68	Num	Low	Probe
66.745	10.82	Num	Low	Rest
77.565	3.17	Pos	Low	Cue
80.735	10.057	Pos	Low	Encode
90.792	10.031	Pos	Low	Maintain
100.823	2.204	Pos	Low	Probe
103.027	10.769	Pos	Low	Rest
113.796	3.322	Frac	High	Cue
117.118	10.03	Frac	High	Encode
127.148	10	Frac	High	Maintain
137.148	5.254	Frac	High	Probe
142.402	10.829	Frac	High	Rest
153.231	3.14	Frac	Med	Cue
156.371	10.008	Frac	Med	Encode
166.379	10.032	Frac	Med	Maintain
176.411	3.051	Frac	Med	Probe
179.462	10.825	Frac	Med	Rest
190.287	3.08	Num	Med	Cue
193.367	10.01	Num	Med	Encode
203.377	10.031	Num	Med	Maintain
213.408	4.004	Num	Med	Probe
217.412	10.823	Num	Med	Rest
228.235	3.131	Pos	Med	Cue
231.366	10.034	Pos	Med	Encode
241.4	10	Pos	Med	Maintain
251.4	3.07	Pos	Med	Probe
254.47	10.846	Pos	Med	Rest
265.316	3.29	Pos	High	Cue
268.606	10.04	Pos	High	Encode
278.646	10.046	Pos	High	Maintain
288.692	5.267	Pos	High	Probe
293.959	10.841	Pos	High	Rest
304.8	3.142	Frac	Low	Cue
307.942	10.025	Frac	Low	Encode
317.967	10.008	Frac	Low	Maintain
327.975	2.311	Frac	Low	Probe
330.286	9.657	Frac	Low	Rest
339.943	3.191	Frac	Med	Cue
343.134	10.009	Frac	Med	Encode
353.143	9.999	Frac	Med	Maintain
363.142	2.978	Frac	Med	Probe
366.12	10.798	Frac	Med	Rest
376.918	3.17	Num	Low	Cue
380.088	10.011	Num	Low	Encode
390.099	10.048	Num	Low	Maintain
400.147	3.091	Num	Low	Probe
403.238	10.846	Num	Low	Rest
414.084	3.256	Num	High	Cue
417.34	10.047	Num	High	Encode
427.387	9.999	Num	High	Maintain
437.386	4.046	Num	High	Probe
441.432	10.904	Num	High	Rest
452.336	3.22	Pos	Low	Cue
455.556	10.009	Pos	Low	Encode
465.565	10.001	Pos	Low	Maintain
475.566	1.998	Pos	Low	Probe
477.564	10.868	Pos	Low	Rest
488.432	5.311	Pos	High	Cue
493.743	10.04	Pos	High	Encode
503.783	10.049	Pos	High	Maintain
513.832	3.082	Pos	High	Probe
516.914	10.774	Pos	High	Rest
527.688	3.13	Pos	Med	Cue
530.818	10.016	Pos	Med	Encode
540.834	10.019	Pos	Med	Maintain
550.853	2.47	Pos	Med	Probe
553.323	10.747	Pos	Med	Rest
564.07	3.504	Frac	Low	Cue
567.574	10.032	Frac	Low	Encode
577.606	10.062	Frac	Low	Maintain
587.668	2.529	Frac	Low	Probe
590.197	10.826	Frac	Low	Rest
601.023	3.13	Num	Med	Cue
604.153	10.049	Num	Med	Encode
614.202	10.042	Num	Med	Maintain
624.244	3.46	Num	Med	Probe
627.704	10.869	Num	Med	Rest
638.573	3.771	Frac	High	Cue
642.344	10.009	Frac	High	Encode
652.353	10	Frac	High	Maintain
662.353	4.244	Frac	High	Probe
666.597	10	Frac	High	Rest
