onset	duration	trial_type	load_type	processing_stage
1.104	3.16	Num	Low	Cue
4.264	10.034	Num	Low	Encode
14.298	10.062	Num	Low	Maintain
24.36	4.369	Num	Low	Probe
28.729	10.87	Num	Low	Rest
39.599	3.09	Pos	Low	Cue
42.689	10.025	Pos	Low	Encode
52.714	10.002	Pos	Low	Maintain
62.716	2.446	Pos	Low	Probe
65.162	10.803	Pos	Low	Rest
75.965	3.22	Num	Med	Cue
79.185	10.007	Num	Med	Encode
89.192	9.999	Num	Med	Maintain
99.191	4.376	Num	Med	Probe
103.567	10.823	Num	Med	Rest
114.39	5.46	Num	High	Cue
119.85	10.032	Num	High	Encode
129.882	10.002	Num	High	Maintain
139.884	7.523	Num	High	Probe
147.407	10.81	Num	High	Rest
158.217	3.09	Frac	High	Cue
161.307	10.044	Frac	High	Encode
171.351	10.046	Frac	High	Maintain
181.397	6.872	Frac	High	Probe
188.269	10.833	Frac	High	Rest
199.102	3.2	Frac	Med	Cue
202.302	10.011	Frac	Med	Encode
212.313	10.002	Frac	Med	Maintain
222.315	5.82	Frac	Med	Probe
228.135	10.758	Frac	Med	Rest
238.893	3.21	Pos	Med	Cue
242.103	10.032	Pos	Med	Encode
252.135	10.001	Pos	Med	Maintain
262.136	3.538	Pos	Med	Probe
265.674	10.848	Pos	Med	Rest
276.522	5.442	Pos	High	Cue
281.964	10.036	Pos	High	Encode
292	10.048	Pos	High	Maintain
302.048	4.674	Pos	High	Probe
306.722	10.824	Pos	High	Rest
317.546	3.461	Frac	Low	Cue
321.007	10.007	Frac	Low	Encode
331.014	10.031	Frac	Low	Maintain
341.045	3.166	Frac	Low	Probe
344.211	9.634	Frac	Low	Rest
353.845	3.992	Num	High	Cue
357.837	10.034	Num	High	Encode
367.871	10.001	Num	High	Maintain
377.872	7.735	Num	High	Probe
385.607	10.82	Num	High	Rest
396.427	3.08	Frac	Med	Cue
399.507	10.01	Frac	Med	Encode
409.517	10.03	Frac	Med	Maintain
419.547	4.116	Frac	Med	Probe
423.663	10.8	Frac	Med	Rest
434.463	3.13	Pos	Low	Cue
437.593	10.01	Pos	Low	Encode
447.603	10	Pos	Low	Maintain
457.603	2.56	Pos	Low	Probe
460.163	10.795	Pos	Low	Rest
470.958	3.14	Frac	Low	Cue
474.098	10.04	Frac	Low	Encode
484.138	10.049	Frac	Low	Maintain
494.187	3.013	Frac	Low	Probe
497.2	10.854	Frac	Low	Rest
508.054	3.247	Num	Low	Cue
511.301	10.04	Num	Low	Encode
521.341	10.006	Num	Low	Maintain
531.347	3.225	Num	Low	Probe
534.572	10.859	Num	Low	Rest
545.431	3.111	Pos	Med	Cue
548.542	10.008	Pos	Med	Encode
558.55	10.046	Pos	Med	Maintain
568.596	2.405	Pos	Med	Probe
571.001	10.854	Pos	Med	Rest
581.855	3.111	Num	Med	Cue
584.966	10.057	Num	Med	Encode
595.023	10	Num	Med	Maintain
605.023	4.813	Num	Med	Probe
609.836	10.854	Num	Med	Rest
620.69	3.191	Pos	High	Cue
623.881	10.01	Pos	High	Encode
633.891	10.048	Pos	High	Maintain
643.939	5.174	Pos	High	Probe
649.113	10.82	Pos	High	Rest
659.933	3.16	Frac	High	Cue
663.093	10.034	Frac	High	Encode
673.127	10.002	Frac	High	Maintain
683.129	6.333	Frac	High	Probe
689.462	10	Frac	High	Rest
