onset	duration	trial_type	load_type	processing_stage
1.094	4.087	Num	High	Cue
5.181	10.04	Num	High	Encode
15.221	10	Num	High	Maintain
25.221	3.91	Num	High	Probe
29.131	10.59	Num	High	Rest
39.721	3.13	Frac	Med	Cue
42.851	10.03	Frac	Med	Encode
52.881	10	Frac	Med	Maintain
62.881	3.66	Frac	Med	Probe
66.541	10.56	Frac	Med	Rest
77.101	3.08	Num	Med	Cue
80.181	10.04	Num	Med	Encode
90.221	10	Num	Med	Maintain
100.221	3.27	Num	Med	Probe
103.491	10.53	Num	Med	Rest
114.021	3.63	Pos	High	Cue
117.651	10.03	Pos	High	Encode
127.681	10	Pos	High	Maintain
137.681	7.6	Pos	High	Probe
145.281	10.65	Pos	High	Rest
155.931	3.14	Pos	Med	Cue
159.071	10.03	Pos	Med	Encode
169.101	10	Pos	Med	Maintain
179.101	2.16	Pos	Med	Probe
181.261	10.587	Pos	Med	Rest
191.848	3.34	Frac	High	Cue
195.188	10.027	Frac	High	Encode
205.215	10.01	Frac	High	Maintain
215.225	6.85	Frac	High	Probe
222.075	10.56	Frac	High	Rest
232.635	3.09	Frac	Low	Cue
235.725	10.05	Frac	Low	Encode
245.775	10	Frac	Low	Maintain
255.775	6.3	Frac	Low	Probe
262.075	10.651	Frac	Low	Rest
272.726	3.13	Num	Low	Cue
275.856	10.03	Num	Low	Encode
285.886	10	Num	Low	Maintain
295.886	3.79	Num	Low	Probe
299.676	10.55	Num	Low	Rest
310.226	3.13	Pos	Low	Cue
313.356	10.03	Pos	Low	Encode
323.386	10.049	Pos	Low	Maintain
333.435	2.52	Pos	Low	Probe
335.955	9.52	Pos	Low	Rest
345.475	3.9	Frac	High	Cue
349.375	10.03	Frac	High	Encode
359.405	10	Frac	High	Maintain
369.405	8.36	Frac	High	Probe
377.765	10.52	Frac	High	Rest
388.285	3.09	Pos	Med	Cue
391.375	10.03	Pos	Med	Encode
401.405	10	Pos	Med	Maintain
411.405	3.55	Pos	Med	Probe
414.955	10.58	Pos	Med	Rest
425.535	3.34	Frac	Low	Cue
428.875	10.03	Frac	Low	Encode
438.905	10	Frac	Low	Maintain
448.905	3.99	Frac	Low	Probe
452.895	10.51	Frac	Low	Rest
463.405	3.08	Num	Med	Cue
466.485	10.05	Num	Med	Encode
476.535	10	Num	Med	Maintain
486.535	3	Num	Med	Probe
489.535	10.667	Num	Med	Rest
500.202	5.054	Pos	High	Cue
505.256	10.03	Pos	High	Encode
515.286	10	Pos	High	Maintain
525.286	3.51	Pos	High	Probe
528.796	10.54	Pos	High	Rest
539.336	3.17	Frac	Med	Cue
542.506	10.03	Frac	Med	Encode
552.536	10	Frac	Med	Maintain
562.536	6.16	Frac	Med	Probe
568.696	10.56	Frac	Med	Rest
579.256	3.356	Pos	Low	Cue
582.612	10.028	Pos	Low	Encode
592.64	10	Pos	Low	Maintain
602.64	3.3	Pos	Low	Probe
605.94	10.53	Pos	Low	Rest
616.47	3.34	Num	High	Cue
619.81	10.05	Num	High	Encode
629.86	10	Num	High	Maintain
639.86	6.57	Num	High	Probe
646.43	10.54	Num	High	Rest
656.97	3.09	Num	Low	Cue
660.06	10.05	Num	Low	Encode
670.11	10	Num	Low	Maintain
680.11	3.59	Num	Low	Probe
683.7	10	Num	Low	Rest
